当前时间: 0.0
车道: road_0_1_0_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
当前时间: 1.0
车道: road_0_1_0_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_1, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_5_0']
车道: road_0_1_0_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_4, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_0_0']
车道: road_0_1_0_5, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_8_0']
车道: road_0_1_0_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_1, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_11_0']
车道: road_1_0_1_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_4, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_2_0']
车道: road_1_0_1_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_0_1_6, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_4_0']
车道: road_1_1_0_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_0_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_1_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_2_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_1_3_6, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_1, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_9_0']
车道: road_1_2_3_2, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_3_0']
车道: road_1_2_3_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_1_2_3_6, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_7_0']
车道: road_2_1_2_0, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_6_0']
车道: road_2_1_2_1, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_3, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_1_0']
车道: road_2_1_2_4, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_5, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_2_1_2_6, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_10_0']
当前时间: 2.0
车道: road_0_1_0_0, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_1, 车辆总数: 1, 等待车辆数: 0, 车道上的车辆: ['flow_5_0']
车道: road_0_1_0_2, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
车道: road_0_1_0_3, 车辆总数: 0, 等待车辆数: 0, 车道上的车辆: []
