当前时间: 0.0
当前时间: 1.0
车辆 ID: flow_0_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_10_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_11_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_1_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_2_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_3_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_4_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_5_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_6_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_7_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_8_0, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_9_0, 速度: 2.0, 行驶距离: 1.0
当前时间: 2.0
车辆 ID: flow_0_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_10_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_11_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_1_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_2_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_3_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_4_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_5_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_6_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_7_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_8_0, 速度: 4.0, 行驶距离: 4.0
车辆 ID: flow_9_0, 速度: 4.0, 行驶距离: 4.0
当前时间: 3.0
车辆 ID: flow_0_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_10_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_11_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_1_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_2_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_3_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_4_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_5_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_6_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_7_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_8_0, 速度: 6.0, 行驶距离: 9.0
车辆 ID: flow_9_0, 速度: 6.0, 行驶距离: 9.0
当前时间: 4.0
车辆 ID: flow_0_0, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_10_0, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_11_0, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_1_0, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_2_0, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_3_0, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_4_0, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_5_0, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_6_0, 速度: 8.0, 行驶距离: 16.0
车辆 ID: flow_7_0, 速度: 8.0, 行驶距离: 16.0
