当前时间: 101.0
车辆 ID: flow_0_10, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_0_11, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_0_12, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_0_13, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_0_14, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_0_15, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_0_16, 速度: 0.0, 行驶距离: 224.2616666666669
车辆 ID: flow_0_17, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_0_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_0_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_0_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_0_3, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_0_4, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_0_5, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_0_6, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_0_7, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_0_8, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_0_9, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_10_12, 速度: 16.67, 行驶距离: 268.57891996972563
车辆 ID: flow_10_13, 速度: 16.67, 行驶距离: 188.2037688415997
车辆 ID: flow_10_14, 速度: 16.67, 行驶距离: 104.85376884159967
车辆 ID: flow_10_15, 速度: 14.3333, 行驶距离: 23.008818841599663
车辆 ID: flow_10_16, 速度: 8.3333, 行驶距离: 255.03325000000015
车辆 ID: flow_10_17, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_10_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_10_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_10_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_11_0, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_11_1, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_11_10, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_11_11, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_11_12, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_11_13, 速度: 0.0, 行驶距离: 209.26166666666697
车辆 ID: flow_11_14, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_11_15, 速度: 0.0, 行驶距离: 201.761666666667
车辆 ID: flow_11_16, 速度: 0.0, 行驶距离: 194.261666666667
车辆 ID: flow_11_17, 速度: 15.78351047356009, 行驶距离: 196.5817552367801
车辆 ID: flow_11_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_11_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_11_2, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_11_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_11_3, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_11_4, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_11_5, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_11_6, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_11_7, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_11_8, 速度: 0.0, 行驶距离: 224.2616666666669
车辆 ID: flow_11_9, 速度: 0.0, 行驶距离: 216.76166666666694
车辆 ID: flow_1_10, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_1_11, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_1_12, 速度: 0.0, 行驶距离: 239.26166666666688
车辆 ID: flow_1_13, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_1_14, 速度: 0.0, 行驶距离: 224.2616666666669
车辆 ID: flow_1_15, 速度: 0.0, 行驶距离: 246.76166666666683
车辆 ID: flow_1_16, 速度: 1.7931016249970457, 行驶距离: 253.90442072915937
车辆 ID: flow_1_17, 速度: 13.803270694783711, 行驶距离: 195.59163534739193
车辆 ID: flow_1_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_1_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_1_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_1_3, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_1_4, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_1_5, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_1_6, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_1_7, 速度: 0.0, 行驶距离: 254.26166666666683
车辆 ID: flow_1_8, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_1_9, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_2_12, 速度: 16.67, 行驶距离: 261.31673616559965
车辆 ID: flow_2_13, 速度: 16.67, 行驶距离: 200.42500000000024
车辆 ID: flow_2_14, 速度: 16.67, 行驶距离: 117.07500000000019
车辆 ID: flow_2_15, 速度: 16.67, 行驶距离: 33.72500000000018
车辆 ID: flow_2_16, 速度: 16.67, 行驶距离: 10.37500000000017
车辆 ID: flow_2_17, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_2_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_2_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_2_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_2_6, 速度: 16.67, 行驶距离: 256.316666666667
车辆 ID: flow_2_7, 速度: 16.66998153686525, 行驶距离: 226.31169436136912
车辆 ID: flow_3_10, 速度: 16.67, 行驶距离: 256.316666666667
车辆 ID: flow_3_12, 速度: 16.67, 行驶距离: 261.31673616559965
车辆 ID: flow_3_13, 速度: 16.67, 行驶距离: 200.42500000000024
车辆 ID: flow_3_14, 速度: 16.67, 行驶距离: 117.07500000000019
车辆 ID: flow_3_15, 速度: 16.67, 行驶距离: 33.72500000000018
车辆 ID: flow_3_16, 速度: 16.67, 行驶距离: 10.37500000000017
车辆 ID: flow_3_17, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_3_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_3_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_3_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_4_12, 速度: 16.67, 行驶距离: 268.57891996972563
车辆 ID: flow_4_13, 速度: 16.67, 行驶距离: 185.22891996972555
车辆 ID: flow_4_14, 速度: 16.67, 行驶距离: 104.85376884159967
车辆 ID: flow_4_15, 速度: 14.3333, 行驶距离: 23.008818841599663
车辆 ID: flow_4_16, 速度: 8.3333, 行驶距离: 255.03325000000015
车辆 ID: flow_4_17, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_4_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_4_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_4_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_5_10, 速度: 0.0, 行驶距离: 262.44985000000014
车辆 ID: flow_5_11, 速度: 0.0, 行驶距离: 254.94985000000014
车辆 ID: flow_5_12, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_5_13, 速度: 0.0, 行驶距离: 247.44985000000014
车辆 ID: flow_5_14, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_5_15, 速度: 0.0, 行驶距离: 239.94985000000014
车辆 ID: flow_5_16, 速度: 0.0, 行驶距离: 232.44985000000014
车辆 ID: flow_5_17, 速度: 15.954426659469412, 行驶距离: 196.66721332973478
车辆 ID: flow_5_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_5_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_5_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_5_9, 速度: 0.0, 行驶距离: 269.94985000000014
车辆 ID: flow_6_10, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_6_11, 速度: 0.0, 行驶距离: 262.44985000000014
车辆 ID: flow_6_12, 速度: 0.0, 行驶距离: 254.94985000000014
车辆 ID: flow_6_13, 速度: 0.0, 行驶距离: 247.44985000000014
车辆 ID: flow_6_14, 速度: 0.0, 行驶距离: 239.94985000000014
车辆 ID: flow_6_15, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_6_16, 速度: 0.0, 行驶距离: 232.44985000000014
车辆 ID: flow_6_17, 速度: 15.954426659469412, 行驶距离: 196.66721332973478
车辆 ID: flow_6_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_6_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_6_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_6_9, 速度: 0.0, 行驶距离: 269.94985000000014
车辆 ID: flow_7_13, 速度: 16.67, 行驶距离: 185.22891996972555
车辆 ID: flow_7_14, 速度: 16.67, 行驶距离: 101.87891996972552
车辆 ID: flow_7_15, 速度: 14.3333, 行驶距离: 20.03396996972551
车辆 ID: flow_7_16, 速度: 8.3333, 行驶距离: 255.03325000000015
车辆 ID: flow_7_17, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_7_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_7_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_7_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_8_12, 速度: 16.67, 行驶距离: 268.57891996972563
车辆 ID: flow_8_13, 速度: 16.67, 行驶距离: 185.22891996972555
车辆 ID: flow_8_14, 速度: 16.67, 行驶距离: 101.87891996972552
车辆 ID: flow_8_15, 速度: 14.3333, 行驶距离: 23.008818841599663
车辆 ID: flow_8_16, 速度: 8.3333, 行驶距离: 255.03325000000015
车辆 ID: flow_8_17, 速度: 16.67, 行驶距离: 197.0250000000001
车辆 ID: flow_8_18, 速度: 16.67, 行驶距离: 113.67500000000001
车辆 ID: flow_8_19, 速度: 12.0, 行驶距离: 36.0
车辆 ID: flow_8_20, 速度: 2.0, 行驶距离: 1.0
车辆 ID: flow_9_0, 速度: 0.0, 行驶距离: 269.26166666666677
车辆 ID: flow_9_1, 速度: 0.0, 行驶距离: 261.7616666666668
车辆 ID: flow_9_10, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_9_11, 速度: 0.0, 行驶距离: 224.2616666666669
车辆 ID: flow_9_12, 速度: 0.0, 行驶距离: 231.7616666666669
车辆 ID: flow_9_13, 速度: 0.0, 行驶距离: 224.2616666666669
车辆 ID: flow_9_14, 速度: 0.0, 行驶距离: 216.76166666666694
车辆 ID: flow_9_15, 速度: 0.0, 行驶距离: 209.26166666666694
